Count-435,Count-436,Count-435,Count-436
2971,35624,2378,25552
2650,34640,2229,25968
2418,33552,2175,26576
2672,33368,2155,24448
2277,31728,1881,24664
2567,30784,2156,23344
2409,31248,2028,23400
2299,32328,1885,24808
1961,33664,2018,25248
1914,37640,1945,27872
1890,41344,1744,32256
1906,44320,1765,34992
2203,50328,1645,38912
1781,53088,1812,41992
1872,55896,1433,43744
2141,55840,1795,43096
1708,56328,1679,44096
2050,54176,1926,41464
1971,50456,1890,38872
2217,46608,1774,36176
2158,41040,1822,33344
2684,37144,2157,31184
2464,33584,2308,26448
2471,28304,2284,22752
2941,25432,2397,21704
2669,23160,2283,18024
2627,20016,2443,16392
2637,18192,2343,15474
2421,17232,2609,13623
2543,14931,1929,12282
2873,14452,2275,12423
2398,14791,1839,11441
2359,14090,1966,12256
2154,15528,1931,12134
2179,15853,1661,13088
2385,17744,1921,15052
1890,21384,1714,16872
2004,24600,1833,20336
1884,30296,1846,23312
1688,34496,1808,29320
2123,41184,1969,34448
2125,50656,2060,41128
2011,58592,2245,48136
2154,67736,2207,55736
1971,76608,1743,60984
2327,83904,1922,65552
2130,91360,2098,71208
2561,92288,2286,74784
2565,96152,2337,75304
2425,91064,2155,75008
2626,87200,2429,71120
2885,78264,2252,66544
3438,70080,2818,60184
3024,59776,2831,51512
3669,49400,2934,45512
3881,44312,3416,38704
4476,35472,3449,32928
5242,29144,3710,27440
5205,24136,4171,22832
5933,20496,4247,19256
5742,16448,4428,15627
5958,13647,4509,13112
5399,11229,4765,11878
5287,10097,4488,9300
4883,8635,4571,8865
4707,7832,3974,7549
3896,6684,3769,6229
3770,6463,3512,6594
3372,6499,3221,6328
3437,5991,2726,5091
2720,6008,2322,4700
2601,5673,2628,5025
2475,5287,2323,4290
2411,4847,2148,4335
2082,5271,2224,4720
1942,4606,2300,3969
2073,4727,2192,4077
2260,4059,2015,4215
2084,4492,2141,3902
1922,4563,1977,3978
1848,4382,1774,3761
2058,4223,1764,3607
2443,3835,1683,3794
1996,4607,1909,3506
1924,3764,1656,4022
2326,3838,1636,3676
2000,4054,2089,3234
2172,4086,1980,3290
2319,3455,2438,3135
2043,3578,1896,2979
2035,3407,1983,3178
1888,3295,1574,2847
1949,2939,1913,2755
1804,3171,1403,3035
1638,2831,1657,2278
1558,2663,1829,2732
2030,2822,1701,2604
1840,2660,1458,2354
1848,2772,1642,2646
2037,2780,1603,2314
2113,2913,1668,2789
2312,2862,2018,2417
2515,3255,2389,2869
3345,3463,2482,2887
3811,4099,3153,3133
4842,4063,3701,3326
6169,4336,4910,3913
7493,4658,6076,4405
8974,5527,6874,4267
10618,5944,8728,4704
12974,6057,10263,5775
13941,6330,10881,5918
15886,6624,12984,6137
16381,7816,12626,6227
16616,7027,13823,5863
17344,7354,13464,6431
16696,7109,13884,6560
15517,6958,13502,5811
14521,5707,11756,5969
12455,5973,11279,5836
11478,5656,9923,5153
10212,5403,8451,4999
9714,5241,8425,5020
7982,5406,8001,4418
7416,4783,7308,4410
7050,5029,6758,3964
6471,4589,6344,4173
6352,4722,5713,4061
6217,4326,5956,4161
5841,4577,5946,4469
6036,4854,5134,4186
6118,5058,5842,3997
6207,5065,5372,4460
5078,4911,4897,4212
5633,5142,5314,4302
5152,5073,5348,4680
5192,5402,4724,4348
5106,5335,4086,4452
4365,4755,4099,4569
4277,4823,4238,3865
4329,5004,4445,4201
3988,4559,3402,4223
4338,4181,3350,4143
4273,4571,4140,4258
4605,4390,4000,4728
4223,4674,4117,4003
5493,5379,4395,4478
5561,5252,4352,4403
5359,5334,4930,4766
5852,5959,5093,4750
6512,5390,5228,5024
6423,7025,5550,5193
6438,6674,5696,5281
6874,7174,6009,6094
7114,7623,6356,6539
7021,7839,6146,6475
7484,8961,6638,7187
7035,9744,7366,7440
6810,9508,7572,8105
7441,9595,7684,8590
8095,10809,8277,9363
8925,10257,9471,9884
9331,11324,9328,10232
9307,11784,10428,10094
10341,11970,10531,11006
11377,12448,10389,11217
12362,13389,11828,13744
12377,14262,12222,15408
12463,16608,12586,16067
12300,17704,12553,18520
11889,22064,11344,21496
12017,24696,10770,27224
11023,30512,10345,31256
10569,33512,10300,38704
9569,41728,8997,46768
9469,49016,8682,53216
8533,57064,8852,61936
8161,65568,7854,67688
7636,73256,7635,76656
8166,81488,7319,82184
7695,87080,7692,89992
7281,94840,7347,93704
7459,100272,7117,93240
8073,99216,7518,90848
7770,96960,7487,89200
8344,91888,7518,82680
8306,85304,7460,77024
8172,79944,8282,69864
8962,69408,7368,62624
8045,60648,7417,54752
8441,51352,7502,46624
7755,43984,7501,38984
7747,34080,7275,32024
7312,27552,6893,27568
7793,23336,6974,22008
6893,18840,6155,18856
6588,16165,6491,15613
6604,13975,5622,13136
5999,12454,5982,11387
5968,11050,5951,10115
5554,10817,4892,9415
5059,9110,4975,9303
5084,8721,4604,7994
4369,8283,4189,7802
4262,8304,3976,7230
3906,8434,4035,6875
3852,7889,3585,6915
3688,7070,3381,6397
3217,6488,3118,5984
3469,6701,3325,5355
3269,6243,2953,5691
3538,6195,3018,5720
3140,6122,2790,5619
3505,5577,2631,5303
2799,6279,2800,4548
3221,5989,2880,4937
3310,5727,2832,4751
2731,5634,2450,5165
3156,5876,2614,4777
3069,5881,2824,4986
2554,6066,2718,5615
2972,6824,3070,5545
2712,7067,2765,6070
2629,7738,2414,5628
3012,8149,2824,6779
3054,8224,2468,7076
2870,10050,2947,7421
2793,10060,2524,8357
3111,11228,2548,8320
3202,11121,2613,9699
3158,12403,2882,10658
3311,12621,3113,10530
3774,13424,3251,11371
3460,14726,3343,11465
3125,15610,2818,11334
3763,16920,2814,13908
3438,17360,3193,12731
3317,18736,3093,13984
3345,19360,3034,15156
3302,18808,3017,15364
3194,20040,2895,15969
3499,19864,3170,15571
3044,20928,3328,15883
3079,19120,2946,14661
3278,18392,2778,15097
3261,18904,2771,13986
3338,17440,2962,13106
2969,16768,2946,12483
2927,14680,2639,11725
3031,13735,2916,11167
2901,11527,2579,10324
2607,11022,2620,10101
2699,9615,2449,8566
2821,9779,2610,8711
2671,8987,2638,7675
2879,8932,2519,8055
2989,8898,2516,7037
3089,9019,2612,8006
3564,8355,2714,7648
3369,9772,2770,7229
3581,10406,2789,7432
3862,10264,3233,8700
3516,10532,3453,8146
4005,9961,3309,7935
4310,10459,3297,8371
5121,10420,4205,8446
4901,10159,3907,7999
5695,10580,4197,8193
5854,9962,4443,8163
6118,9748,4905,7823
6520,8611,4929,8716
7166,9633,5328,7480
6491,8413,5410,6844
6387,8971,5847,6966
6584,8256,5469,6492
6451,7305,5593,6921
6198,7435,5520,7095
6299,7423,5114,6493
6392,7782,5248,6724
5119,7540,5529,6393
6225,8775,4888,7036
5245,9836,4555,9058
4863,11754,4411,10498
4753,17008,4832,13497
4611,23648,4286,17152
4398,33192,3609,23848
4204,46400,4027,33024
4325,61208,3556,46192
3992,81432,3764,61112
3905,104720,3780,78224
3932,130736,3880,102480
4059,157120,3710,124080
4424,189696,4035,148992
4805,220032,4228,174848
5230,251520,4337,202880
5438,271936,4077,221568
5207,295040,4441,239296
5532,310720,4706,252544
5300,323456,4886,257408
